ciudad,fecha,año,mes,temp_pred,ci_inferior,ci_superior,tipo
SUCRE,2026-05-01,2026,5,13.6713,12.1291,15.2135,Prediccion
SUCRE,2026-06-01,2026,6,12.7357,10.9791,14.4924,Prediccion
SUCRE,2026-07-01,2026,7,12.4998,10.6529,14.3467,Prediccion
SUCRE,2026-08-01,2026,8,13.1914,11.2867,15.0961,Prediccion
SUCRE,2026-09-01,2026,9,14.7342,12.7826,16.6858,Prediccion
SUCRE,2026-10-01,2026,10,15.6892,13.6951,17.6833,Prediccion
SUCRE,2026-11-01,2026,11,15.9181,13.8836,17.9527,Prediccion
SUCRE,2026-12-01,2026,12,15.705,13.6313,17.7787,Prediccion
SUCRE,2027-01-01,2027,1,15.1301,13.0181,17.2421,Prediccion
SUCRE,2027-02-01,2027,2,14.8961,12.7466,17.0456,Prediccion
SUCRE,2027-03-01,2027,3,14.7756,12.5892,16.962,Prediccion
SUCRE,2027-04-01,2027,4,14.4711,12.2485,16.6938,Prediccion
SUCRE,2027-05-01,2027,5,13.578,11.299,15.8569,Prediccion
SUCRE,2027-06-01,2027,6,12.688,10.3638,15.0121,Prediccion
SUCRE,2027-07-01,2027,7,12.4694,10.1043,14.8345,Prediccion
SUCRE,2027-08-01,2027,8,13.1683,10.7643,15.5724,Prediccion
SUCRE,2027-09-01,2027,9,14.7132,12.2713,17.1551,Prediccion
SUCRE,2027-10-01,2027,10,15.6696,13.1906,18.1486,Prediccion
SUCRE,2027-11-01,2027,11,15.8987,13.3832,18.4143,Prediccion
SUCRE,2027-12-01,2027,12,15.6856,13.1341,18.237,Prediccion
SUCRE,2028-01-01,2028,1,15.1109,12.524,17.6978,Prediccion
SUCRE,2028-02-01,2028,2,14.8758,12.2539,17.4976,Prediccion
SUCRE,2028-03-01,2028,3,14.7558,12.0995,17.4121,Prediccion
SUCRE,2028-04-01,2028,4,14.4515,11.7611,17.1418,Prediccion
SUCRE,2028-05-01,2028,5,13.5584,10.8165,16.3003,Prediccion
SUCRE,2028-06-01,2028,6,12.6684,9.8844,15.4525,Prediccion
SUCRE,2028-07-01,2028,7,12.4499,9.6273,15.2724,Prediccion
SUCRE,2028-08-01,2028,8,13.1488,10.2894,16.0082,Prediccion
