fecha,año,mes_num,mes_nombre,ciudad,temperatura,tipo,ci_inferior,ci_superior
1990-01-01,1990,1,Enero,COBIJA,25.45,Histórico,,
1990-02-01,1990,2,Febrero,COBIJA,25.65,Histórico,,
1990-03-01,1990,3,Marzo,COBIJA,26.15,Histórico,,
1990-04-01,1990,4,Abril,COBIJA,25.95,Histórico,,
1990-05-01,1990,5,Mayo,COBIJA,24.75,Histórico,,
1990-06-01,1990,6,Junio,COBIJA,23.25,Histórico,,
1990-07-01,1990,7,Julio,COBIJA,22.25,Histórico,,
1990-08-01,1990,8,Agosto,COBIJA,25.25,Histórico,,
1990-09-01,1990,9,Septiembre,COBIJA,24.45,Histórico,,
1990-10-01,1990,10,Octubre,COBIJA,26.6,Histórico,,
1990-11-01,1990,11,Noviembre,COBIJA,26.3,Histórico,,
1990-12-01,1990,12,Diciembre,COBIJA,25.7,Histórico,,
1991-01-01,1991,1,Enero,COBIJA,26.1,Histórico,,
1991-02-01,1991,2,Febrero,COBIJA,26.3,Histórico,,
1991-03-01,1991,3,Marzo,COBIJA,26.3,Histórico,,
1991-04-01,1991,4,Abril,COBIJA,26.0,Histórico,,
1991-05-01,1991,5,Mayo,COBIJA,25.4,Histórico,,
1991-06-01,1991,6,Junio,COBIJA,24.15,Histórico,,
1991-07-01,1991,7,Julio,COBIJA,23.0,Histórico,,
1991-08-01,1991,8,Agosto,COBIJA,23.4,Histórico,,
1991-09-01,1991,9,Septiembre,COBIJA,25.55,Histórico,,
1991-10-01,1991,10,Octubre,COBIJA,25.8,Histórico,,
1991-11-01,1991,11,Noviembre,COBIJA,25.8,Histórico,,
1991-12-01,1991,12,Diciembre,COBIJA,26.05,Histórico,,
1992-01-01,1992,1,Enero,COBIJA,26.1,Histórico,,
1992-02-01,1992,2,Febrero,COBIJA,25.9,Histórico,,
1992-03-01,1992,3,Marzo,COBIJA,26.1,Histórico,,
1992-04-01,1992,4,Abril,COBIJA,25.85,Histórico,,
1992-05-01,1992,5,Mayo,COBIJA,26.6,Histórico,,
1992-06-01,1992,6,Junio,COBIJA,25.25,Histórico,,
1992-07-01,1992,7,Julio,COBIJA,21.2,Histórico,,
1992-08-01,1992,8,Agosto,COBIJA,24.1,Histórico,,
1992-09-01,1992,9,Septiembre,COBIJA,24.7,Histórico,,
1992-10-01,1992,10,Octubre,COBIJA,26.45,Histórico,,
1992-11-01,1992,11,Noviembre,COBIJA,25.65,Histórico,,
1992-12-01,1992,12,Diciembre,COBIJA,25.55,Histórico,,
1993-01-01,1993,1,Enero,COBIJA,25.3,Histórico,,
1993-02-01,1993,2,Febrero,COBIJA,25.2,Histórico,,
1993-03-01,1993,3,Marzo,COBIJA,25.75,Histórico,,
1993-04-01,1993,4,Abril,COBIJA,25.3,Histórico,,
1993-05-01,1993,5,Mayo,COBIJA,24.75,Histórico,,
1993-06-01,1993,6,Junio,COBIJA,23.8,Histórico,,
1993-07-01,1993,7,Julio,COBIJA,23.45,Histórico,,
1993-08-01,1993,8,Agosto,COBIJA,23.65,Histórico,,
1993-09-01,1993,9,Septiembre,COBIJA,24.8,Histórico,,
1993-10-01,1993,10,Octubre,COBIJA,26.15,Histórico,,
1993-11-01,1993,11,Noviembre,COBIJA,25.8,Histórico,,
1993-12-01,1993,12,Diciembre,COBIJA,25.7,Histórico,,
1994-01-01,1994,1,Enero,COBIJA,25.65,Histórico,,
1994-02-01,1994,2,Febrero,COBIJA,25.35,Histórico,,
1994-03-01,1994,3,Marzo,COBIJA,25.85,Histórico,,
1994-04-01,1994,4,Abril,COBIJA,25.6,Histórico,,
1994-05-01,1994,5,Mayo,COBIJA,25.7,Histórico,,
1994-06-01,1994,6,Junio,COBIJA,24.4,Histórico,,
1994-07-01,1994,7,Julio,COBIJA,23.45,Histórico,,
1994-08-01,1994,8,Agosto,COBIJA,25.45,Histórico,,
1994-09-01,1994,9,Septiembre,COBIJA,26.9,Histórico,,
1994-10-01,1994,10,Octubre,COBIJA,26.45,Histórico,,
1994-11-01,1994,11,Noviembre,COBIJA,26.75,Histórico,,
1994-12-01,1994,12,Diciembre,COBIJA,26.25,Histórico,,
1995-01-01,1995,1,Enero,COBIJA,26.3,Histórico,,
1995-02-01,1995,2,Febrero,COBIJA,26.0,Histórico,,
1995-03-01,1995,3,Marzo,COBIJA,26.2,Histórico,,
1995-04-01,1995,4,Abril,COBIJA,25.25,Histórico,,
1995-05-01,1995,5,Mayo,COBIJA,24.25,Histórico,,
1995-06-01,1995,6,Junio,COBIJA,24.15,Histórico,,
1995-07-01,1995,7,Julio,COBIJA,25.3,Histórico,,
1995-08-01,1995,8,Agosto,COBIJA,25.7,Histórico,,
1995-09-01,1995,9,Septiembre,COBIJA,26.8,Histórico,,
1995-10-01,1995,10,Octubre,COBIJA,27.45,Histórico,,
1995-11-01,1995,11,Noviembre,COBIJA,27.15,Histórico,,
1995-12-01,1995,12,Diciembre,COBIJA,26.75,Histórico,,
1996-01-01,1996,1,Enero,COBIJA,25.75,Histórico,,
1996-02-01,1996,2,Febrero,COBIJA,26.25,Histórico,,
1996-03-01,1996,3,Marzo,COBIJA,26.25,Histórico,,
1996-04-01,1996,4,Abril,COBIJA,25.8,Histórico,,
1996-05-01,1996,5,Mayo,COBIJA,25.75,Histórico,,
1996-06-01,1996,6,Junio,COBIJA,22.1,Histórico,,
1996-07-01,1996,7,Julio,COBIJA,23.85,Histórico,,
1996-08-01,1996,8,Agosto,COBIJA,21.15,Histórico,,
1996-09-01,1996,9,Septiembre,COBIJA,25.8,Histórico,,
1996-10-01,1996,10,Octubre,COBIJA,26.4,Histórico,,
1996-11-01,1996,11,Noviembre,COBIJA,26.6,Histórico,,
1996-12-01,1996,12,Diciembre,COBIJA,26.6,Histórico,,
1997-01-01,1997,1,Enero,COBIJA,26.8,Histórico,,
1997-02-01,1997,2,Febrero,COBIJA,25.7,Histórico,,
1997-03-01,1997,3,Marzo,COBIJA,25.7,Histórico,,
1997-04-01,1997,4,Abril,COBIJA,25.8,Histórico,,
1997-05-01,1997,5,Mayo,COBIJA,24.85,Histórico,,
1997-06-01,1997,6,Junio,COBIJA,24.85,Histórico,,
1997-07-01,1997,7,Julio,COBIJA,25.05,Histórico,,
1997-08-01,1997,8,Agosto,COBIJA,24.7,Histórico,,
1997-09-01,1997,9,Septiembre,COBIJA,27.65,Histórico,,
1997-10-01,1997,10,Octubre,COBIJA,27.6,Histórico,,
1997-11-01,1997,11,Noviembre,COBIJA,27.0,Histórico,,
1997-12-01,1997,12,Diciembre,COBIJA,26.85,Histórico,,
1998-01-01,1998,1,Enero,COBIJA,26.45,Histórico,,
1998-02-01,1998,2,Febrero,COBIJA,26.45,Histórico,,
1998-03-01,1998,3,Marzo,COBIJA,26.2,Histórico,,
1998-04-01,1998,4,Abril,COBIJA,25.75,Histórico,,
1998-05-01,1998,5,Mayo,COBIJA,22.7,Histórico,,
1998-06-01,1998,6,Junio,COBIJA,22.25,Histórico,,
1998-07-01,1998,7,Julio,COBIJA,23.7,Histórico,,
1998-08-01,1998,8,Agosto,COBIJA,24.95,Histórico,,
1998-09-01,1998,9,Septiembre,COBIJA,24.85,Histórico,,
1998-10-01,1998,10,Octubre,COBIJA,25.8,Histórico,,
1998-11-01,1998,11,Noviembre,COBIJA,25.25,Histórico,,
1998-12-01,1998,12,Diciembre,COBIJA,25.05,Histórico,,
1999-01-01,1999,1,Enero,COBIJA,24.9,Histórico,,
1999-02-01,1999,2,Febrero,COBIJA,25.5,Histórico,,
1999-03-01,1999,3,Marzo,COBIJA,25.1,Histórico,,
1999-04-01,1999,4,Abril,COBIJA,24.2,Histórico,,
1999-05-01,1999,5,Mayo,COBIJA,23.6,Histórico,,
1999-06-01,1999,6,Junio,COBIJA,22.7,Histórico,,
